ID,Lat,Lon,Hgt_m,wetDelay,hydroDelay,totalDelay,Datetime
CAM5,35.5293,-121.04290000000003,17.011,0.037876148343343526,2.2589264738592107,2.2968026222025544,2019-08-17
CAMB,38.7922,-119.0731,1519.118,0.0724794228968378,1.902700449706718,1.975179872603556,2019-08-17
CAMC,37.3656,-120.4223,64.69,0.05266642644636271,2.2404899883645104,2.293156414810873,2019-08-17
CAMD,36.9755,-120.0792,54.58,0.05390094664414228,2.242304415716852,2.296205362360994,2019-08-17
CAMS,41.3142,-122.31439999999998,1068.5510000000004,0.0851426595689926,2.0068419420006536,2.091984601569646,2019-08-17
CAMT,36.5796,-121.8202,51.481,0.03969676787207112,2.2498258123028725,2.2895225801749435,2019-08-17
CAMV,39.1483,-121.59249999999996,-4.421,0.08931603076746852,2.2575828970167566,2.346898927784225,2019-08-17
CANC,33.885999999999996,-117.5731,151.385,0.047825528496025296,2.227453594253391,2.275279122749416,2019-08-17
CAND,35.9394,-120.4337,568.378,0.03454917518542417,2.12707588360718,2.161625058792604,2019-08-17
CANI,33.2375,-115.5172,-69.02,0.035037236997952824,2.2662240518664283,2.3012612888643806,2019-08-17
CAOD,37.7694,-120.83780000000002,20.956999999999997,0.06596412021833085,2.250690255607417,2.3166543758257485,2019-08-17
CAOR,32.9327,-115.29160000000002,-23.813000000000002,0.04195466403703738,2.256287207861104,2.298241871898141,2019-08-17
CAOS,33.1978,-117.37810000000002,-3.373,0.028425018278911276,2.2640069202545803,2.2924319385334915,2019-08-17
CAOV,39.4963,-121.6098,38.134,0.10426499924063724,2.2476164374527894,2.3518814366934264,2019-08-17
CAOX,34.1908,-119.1737,-14.478,0.0522165410419824,2.266915722634479,2.3191322636764613,2019-08-17
CAP1,37.7142,-122.2221,-20.848000000000006,0.07036009582458784,2.2663811408487864,2.3367412366733737,2019-08-17
CAP4,37.4303,-121.06780000000003,-4.593999999999999,0.060784836832580534,2.2566407120242724,2.317425548856853,2019-08-17
CAP6,37.3949,-122.15049999999997,42.489,0.0598432235720281,2.251184269378031,2.311027492950059,2019-08-17
CAPE,33.7466,-118.2801,-13.992,0.042664733446721684,2.2669460518498044,2.3096107852965257,2019-08-17
CAPL,37.6956,-121.90160000000004,78.726,0.08037624481815386,2.24319666001984,2.3235729048379943,2019-08-17
CAPV,38.6973,-120.82420000000002,529.685,0.07104894726047704,2.1339455407884382,2.2049944880489147,2019-08-17
CAR1,33.9209,-117.41660000000002,239.18400000000003,0.04862630270543918,2.2057578458372173,2.2543841485426563,2019-08-17
CARA,33.0427,-116.86670000000004,413.834,0.042426481356790634,2.165744844722673,2.2081713260794635,2019-08-17
CARH,35.8884,-120.43079999999998,480.25199999999995,0.036113745290726106,2.147731797911008,2.183845543201734,2019-08-17
CARK,38.7904,-121.31259999999996,18.317,0.08166948152549866,2.2528902490128626,2.3345597305383614,2019-08-17
CARR,35.8883,-120.43079999999998,478.642,0.036144389103593313,2.1481041410914,2.184248530194993,2019-08-17
CARS,39.1449,-119.7994,1750.247,0.059917992201520526,1.8567155658820085,1.9166335580835288,2019-08-17
CAS4,33.7595,-117.913,-1.248,0.03553772539957312,2.2638983370351835,2.2994360624347565,2019-08-17
CAS6,33.7594,-117.913,-1.883,0.03553525560563347,2.264046313512543,2.2995815691181765,2019-08-17
CASA,37.6446,-118.8967,2390.377,0.038587017141128915,1.7253576320490909,1.76394464919022,2019-08-17
CASD,32.8143,-117.12239999999996,104.745,0.03487143172864261,2.2386956400271143,2.273567071755757,2019-08-17
CASE,33.4554,-117.404,776.4839999999997,0.02082238090163725,2.0815877360401367,2.1024101169417744,2019-08-17
CASI,40.8327,-119.23720000000004,1266.504,0.10861182371667144,1.959440489704948,2.068052313421619,2019-08-17
CASJ,33.8073,-116.97140000000002,442.788,0.05607038601944006,2.1527312664861,2.20880165250554,2019-08-17
CASM,34.0177,-118.4717,30.189,0.052166658481580884,2.256737950569093,2.3089046090506744,2019-08-17
CASN,34.4157,-119.8453,3.483,0.056930156226170335,2.262783662172586,2.3197138183987556,2019-08-17
CASR,38.4407,-122.747,11.46,0.10786707000494936,2.258769291168815,2.3666363611737644,2019-08-17
CASU,36.959,-122.0546,2.424,0.048874899221494184,2.2606112565809444,2.3094861558024387,2019-08-17
CASZ,36.959,-122.0546,2.418,0.04887503316694957,2.2606126535007016,2.309487686667651,2019-08-17
CAT1,33.4458,-118.48299999999999,3.917,0.04539874866771229,2.2628185449099325,2.3082172935776453,2019-08-17
CAT2,33.3116,-118.3338,477.241,0.031038677681390906,2.1520508636168123,2.1830895412982034,2019-08-17
CAT3,33.4458,-118.48299999999999,5.122000000000001,0.04537172446920259,2.2625367575059334,2.3079084819751357,2019-08-17
CAT8,37.6938,-121.4479,25.927,0.07659469324582463,2.251497516956816,2.3280922102026405,2019-08-17
CATC,33.8462,-118.3557,6.867000000000001,0.04613270996022894,2.2622365842042167,2.3083692941644456,2019-08-17
CATE,33.5142,-117.17809999999996,290.962,0.03701263508382927,2.19427986580628,2.2312925008901088,2019-08-17
CATF,35.1492,-119.45979999999996,259.875,0.04756252265750622,2.194187762883222,2.241750285540728,2019-08-17
CATK,39.3355,-120.16989999999998,1796.4289999999999,0.05863992592206905,1.8476191136596256,1.9062590395816952,2019-08-17
CATL,37.5012,-120.84450000000004,13.824000000000002,0.05816181895126845,2.2522003458350133,2.3103621647862806,2019-08-17
CAVI,34.5113,-117.3229,879.582,0.0588887467122252,2.050271509956349,2.109160256668574,2019-08-17
CAWI,39.5216,-122.21569999999996,19.839000000000002,0.11527380641890818,2.250397593471125,2.3656713998900334,2019-08-17
CAWO,36.4003,-119.10379999999998,104.20200000000001,0.0492153080822302,2.2305105364130093,2.279725844495239,2019-08-17
CAWS,33.07,-115.7353,-79.146,0.03926614702311548,2.2681797732672084,2.307445920290324,2019-08-17
CAWV,34.1593,-118.83280000000002,247.524,0.05557821096852897,2.205564754100517,2.261142965069046,2019-08-17
CAYC,39.1453,-121.64260000000002,-4.109,0.0906364176722676,2.2574422249646915,2.348078642636959,2019-08-17
CBAD,33.1213,-117.31759999999996,-5.3370000000000015,0.028692003562972343,2.2644071982592737,2.2930992018222462,2019-08-17
CBHS,34.1386,-118.6298,284.61,0.05541192976520816,2.196794583050028,2.2522065128152358,2019-08-17
CCCC,35.5653,-117.6712,813.98,0.030164195628385473,2.0604883280213557,2.0906525236497417,2019-08-17
CCCO,33.8763,-118.21119999999996,-16.944000000000006,0.04922795003939783,2.268096649221625,2.3173245992610227,2019-08-17
CCCS,33.8627,-117.86490000000003,31.822,0.04623853105340782,2.2568373547640648,2.3030758858174725,2019-08-17
CCSF,37.7488,-122.40049999999997,-16.414,0.06541645575461691,2.265120895895912,2.3305373516505288,2019-08-17
CCST,34.8064,-119.01350000000002,1578.0910000000001,0.0458298570833745,1.8990338487177096,1.944863705801084,2019-08-17
CCWR,36.1102,-115.0387,494.70099999999996,0.044462188923989454,2.130446562879746,2.174908751803736,2019-08-17
CCYN,39.1024,-119.34770000000003,1532.104,0.07046464482640856,1.901491381400324,1.971956026226732,2019-08-17
